,a,b,w
0,0.0,1.0,0.0569165457032
1,0.0,2.0,0.0429253105335
2,0.0,3.0,0.0126042067642
3,0.0,4.0,0.0732834590982
4,0.0,5.0,0.00284308043323
5,0.0,6.0,0.0257645453625
6,0.0,7.0,0.0316198897971
7,0.0,8.0,0.00732303445626
8,0.0,9.0,0.0343616662538
9,0.0,10.0,0.0459357679712
10,0.0,11.0,0.00595717073442
11,0.0,12.0,0.0421618337415
12,0.0,13.0,0.0170305306938
13,0.0,14.0,2.56961439562
14,0.0,15.0,0.0257558162242
15,0.0,16.0,0.148903935802
16,0.0,17.0,0.043314815592
17,0.0,18.0,0.0165795879581
18,0.0,19.0,0.0382568922603
19,0.0,20.0,0.0239394633831
20,0.0,21.0,0.00214899029621
21,0.0,22.0,0.00370806531863
22,0.0,23.0,0.0398288078178
23,0.0,24.0,0.495106096379
24,0.0,25.0,0.100839296436
25,0.0,26.0,0.00364779122928
26,0.0,27.0,0.0478832878081
27,0.0,28.0,0.0695770928369
28,0.0,29.0,9.82674569213
29,0.0,30.0,0.0145412829984
30,0.0,31.0,0.0159690861222
31,0.0,32.0,0.286365080727
32,0.0,33.0,0.0382253686675
33,0.0,34.0,0.0294617502436
34,0.0,35.0,0.00047023562894
35,0.0,36.0,0.0270565107415
36,0.0,37.0,0.0180958150477
37,0.0,38.0,0.013693729007
38,0.0,39.0,0.0649486819351
39,0.0,40.0,0.331960604885
40,0.0,41.0,0.0216794159049
41,0.0,42.0,0.0637221288091
42,0.0,43.0,0.0414416794466
43,0.0,44.0,0.0609411865086
44,0.0,45.0,0.0419414137383
45,0.0,46.0,0.027045246986
46,0.0,47.0,0.136055351037
47,0.0,48.0,0.114808102117
48,0.0,49.0,0.00721309661715
49,1.0,0.0,0.235819686505
50,1.0,2.0,0.0496490449315
51,1.0,3.0,0.578999755788
52,1.0,4.0,1.15106397242
53,1.0,5.0,0.0147443424
54,1.0,6.0,0.102217018768
55,1.0,7.0,0.069542782832
56,1.0,8.0,0.059460721742
57,1.0,9.0,0.0965998436906
58,1.0,10.0,0.851663107457
59,1.0,11.0,0.0350275570526
60,1.0,12.0,0.321401310938
61,1.0,13.0,0.051830583598
62,1.0,14.0,0.169851120914
63,1.0,15.0,0.272584321397
64,1.0,16.0,0.229416344751
65,1.0,17.0,0.125118671766
66,1.0,18.0,0.0584759994227
67,1.0,19.0,0.0557254912114
68,1.0,20.0,0.102613713386
69,1.0,21.0,0.0398644454955
70,1.0,22.0,0.0248708793881
71,1.0,23.0,0.909747778063
72,1.0,24.0,0.326993757528
73,1.0,25.0,0.58876530062
74,1.0,26.0,0.0489814520847
75,1.0,27.0,0.264316306823
76,1.0,28.0,1.14497662097
77,1.0,29.0,0.342068161403
78,1.0,30.0,0.126209765815
79,1.0,31.0,0.0579203009041
80,1.0,32.0,0.745037799223
81,1.0,33.0,2.39036268251
82,1.0,34.0,0.159914754921
83,1.0,35.0,0.00405628993742
84,1.0,36.0,0.309624673716
85,1.0,37.0,0.0832772798356
86,1.0,38.0,0.0877108294
87,1.0,39.0,0.0877592865785
88,1.0,40.0,0.130084074728
89,1.0,41.0,0.0367506905858
90,1.0,42.0,0.76829132169
91,1.0,43.0,1.30746517617
92,1.0,44.0,0.262172394117
93,1.0,45.0,0.169496482935
94,1.0,46.0,0.115228837046
95,1.0,47.0,0.164691287419
96,1.0,48.0,0.323147203856
97,1.0,49.0,0.0421504918663
98,2.0,0.0,0.160817139893
99,2.0,1.0,0.0255737881409
100,2.0,3.0,0.00958009104194
101,2.0,4.0,0.0421090387046
102,2.0,5.0,0.00245042768619
103,2.0,6.0,0.0387305398345
104,2.0,7.0,0.017414018598
105,2.0,8.0,0.00699410027432
106,2.0,9.0,0.0120253083475
107,2.0,10.0,0.0211957307018
108,2.0,11.0,0.00409653738462
109,2.0,12.0,0.0216344793928
110,2.0,13.0,0.0282152710441
111,2.0,14.0,0.153897113994
112,2.0,15.0,0.015278442674
113,2.0,16.0,0.5926512284
114,2.0,17.0,0.0169442293874
115,2.0,18.0,0.0160072322389
116,2.0,19.0,0.0328602499209
117,2.0,20.0,0.108485957333
118,2.0,21.0,0.00178121216613
119,2.0,22.0,0.00410612133135
120,2.0,23.0,0.0287415986309
121,2.0,24.0,0.725120489515
122,2.0,25.0,0.0273710715036
123,2.0,26.0,0.00300873200864
124,2.0,27.0,0.0186612967979
125,2.0,28.0,0.037135607277
126,2.0,29.0,0.133497960447
127,2.0,30.0,0.00838123520914
128,2.0,31.0,0.0131024760812
129,2.0,32.0,0.0852523776871
130,2.0,33.0,0.0157412681198
131,2.0,34.0,0.0062328051905
132,2.0,35.0,0.000616115834801
133,2.0,36.0,0.0544594613689
134,2.0,37.0,0.0335347461523
135,2.0,38.0,0.00907323275653
136,2.0,39.0,0.172240181732
137,2.0,40.0,0.310788745207
138,2.0,41.0,0.0504533386212
139,2.0,42.0,0.036735703631
140,2.0,43.0,0.0132574249172
141,2.0,44.0,0.0195642076455
142,2.0,45.0,0.0767120004577
143,2.0,46.0,0.00871721002789
144,2.0,47.0,0.412871737658
145,2.0,48.0,0.0439097913611
146,2.0,49.0,0.00165067137997
147,3.0,0.0,0.0588929816688
148,3.0,1.0,0.212671500378
149,3.0,2.0,0.00608978580976
150,3.0,4.0,0.0608907131587
151,3.0,5.0,0.00251524687468
152,3.0,6.0,0.0253957235097
153,3.0,7.0,0.0196858273905
154,3.0,8.0,0.0245133369293
155,3.0,9.0,0.0322285776925
156,3.0,10.0,2.01787857791
157,3.0,11.0,0.00835720920226
158,3.0,12.0,0.180730608147
159,3.0,13.0,0.00774099197012
160,3.0,14.0,0.0355153307756
161,3.0,15.0,0.353432860444
162,3.0,16.0,0.0352887848934
163,3.0,17.0,0.0744310318421
164,3.0,18.0,0.0165846802539
165,3.0,19.0,0.0115326216746
166,3.0,20.0,0.0225583572336
167,3.0,21.0,0.00219236739302
168,3.0,22.0,0.00807808839373
169,3.0,23.0,1.10887028093
170,3.0,24.0,0.0519270198762
171,3.0,25.0,0.0476667721072
172,3.0,26.0,0.0283578537873
173,3.0,27.0,0.117097299898
174,3.0,28.0,0.104359370866
175,3.0,29.0,0.0591550490356
176,3.0,30.0,0.0363727108176
177,3.0,31.0,0.0180492265122
178,3.0,32.0,0.0875836570791
179,3.0,33.0,1.20531524555
180,3.0,34.0,0.0833746121171
181,3.0,35.0,0.000671137097953
182,3.0,36.0,0.0292022591913
183,3.0,37.0,0.0124838295011
184,3.0,38.0,0.0193349593608
185,3.0,39.0,0.0189381182693
186,3.0,40.0,0.0295998001746
187,3.0,41.0,0.0124363956043
188,3.0,42.0,0.908227246441
189,3.0,43.0,1.97949081383
190,3.0,44.0,0.137167264384
191,3.0,45.0,0.0222298174873
192,3.0,46.0,0.0635911100545
193,3.0,47.0,0.034955485845
194,3.0,48.0,0.113538755102
195,3.0,49.0,0.00606242701917
196,4.0,0.0,0.267001001523
197,4.0,1.0,0.804971237261
198,4.0,2.0,0.0311813246824
199,4.0,3.0,0.130460415033
200,4.0,5.0,0.00653451985192
201,4.0,6.0,0.0647699066281
202,4.0,7.0,0.0385499837644
203,4.0,8.0,0.0246262224367
204,4.0,9.0,0.0793464982084
205,4.0,10.0,0.22267609326
206,4.0,11.0,0.0118012476483
207,4.0,12.0,0.123401638296
208,4.0,13.0,0.0313654996849
209,4.0,14.0,0.309584085514
210,4.0,15.0,0.0884704892427
211,4.0,16.0,0.162506526624
212,4.0,17.0,0.0730952109072
213,4.0,18.0,0.0306562779197
214,4.0,19.0,0.0315757021901
215,4.0,20.0,0.0891048490792
216,4.0,21.0,0.0201995819912
217,4.0,22.0,0.0125692482331
218,4.0,23.0,0.266557557612
219,4.0,24.0,0.201210062632
220,4.0,25.0,1.94445502051
221,4.0,26.0,0.017991397689
222,4.0,27.0,0.134412680477
223,4.0,28.0,1.64710407313
224,4.0,29.0,0.282756892952
225,4.0,30.0,0.0337759393366
226,4.0,31.0,0.0161254873715
227,4.0,32.0,1.50918735689
228,4.0,33.0,0.287769974259
229,4.0,34.0,0.0890703315943
230,4.0,35.0,0.00119634986528
231,4.0,36.0,1.28320390498
232,4.0,37.0,0.0576837201709
233,4.0,38.0,0.0410322920505
234,4.0,39.0,0.0851779978439
235,4.0,40.0,0.153500293802
236,4.0,41.0,0.0420492682637
237,4.0,42.0,0.19086715871
238,4.0,43.0,0.158050700666
239,4.0,44.0,0.129617770962
240,4.0,45.0,0.149669963544
241,4.0,46.0,0.0301273787597
242,4.0,47.0,0.159628816344
243,4.0,48.0,0.151046320337
244,4.0,49.0,0.0314683902659
245,5.0,0.0,0.0540589565062
246,5.0,1.0,0.0136995118445
247,5.0,2.0,0.00358214337936
248,5.0,3.0,0.0161374560126
249,5.0,4.0,0.0136679976514
250,5.0,6.0,0.102629829895
251,5.0,7.0,0.0640827061635
252,5.0,8.0,0.0668299581108
253,5.0,9.0,0.0820449512942
254,5.0,10.0,0.0440056900826
255,5.0,11.0,0.0959772153159
256,5.0,12.0,0.053911688782
257,5.0,13.0,0.0174875990053
258,5.0,14.0,0.0274248423273
259,5.0,15.0,0.018023087991
260,5.0,16.0,0.0405938178019
261,5.0,17.0,0.0945421668491
262,5.0,18.0,0.35918923579
263,5.0,19.0,0.0115542760841
264,5.0,20.0,0.0239980798825
265,5.0,21.0,0.000656904754517
266,5.0,22.0,0.105025886849
267,5.0,23.0,0.0531872122285
268,5.0,24.0,0.0227221800969
269,5.0,25.0,0.0116801132038
270,5.0,26.0,0.0196071591208
271,5.0,27.0,0.0161954445176
272,5.0,28.0,0.0191296844542
273,5.0,29.0,0.0308601978013
274,5.0,30.0,0.200204438418
275,5.0,31.0,0.375607119761
276,5.0,32.0,0.0183244419698
277,5.0,33.0,0.0251521958807
278,5.0,34.0,0.00692330222165
279,5.0,35.0,0.0112182486948
280,5.0,36.0,0.00962246953378
281,5.0,37.0,0.0154346329928
282,5.0,38.0,0.389064188653
283,5.0,39.0,0.0257426909449
284,5.0,40.0,0.0200995825827
285,5.0,41.0,0.0176741144183
286,5.0,42.0,0.0901417245411
287,5.0,43.0,0.0263598726111
288,5.0,44.0,0.046791530124
289,5.0,45.0,0.0118457567913
290,5.0,46.0,0.0518402885698
291,5.0,47.0,0.0481058657051
292,5.0,48.0,0.348649497078
293,5.0,49.0,0.000992947273207
294,6.0,0.0,0.100368766383
295,6.0,1.0,0.00967109564971
296,6.0,2.0,0.0108701491784
297,6.0,3.0,0.00496761190098
298,6.0,4.0,0.0162301175519
299,6.0,5.0,0.00645175822752
